,,,,,,,,,,,
Empanelled Hospital List - Maharashtra,,,,,,,,,,,
Sr No,Hospital,Location,City,District,State,Address,STD_Code,Tel_no,Status,PPN Hospital,PPN City
931,Yash Hospital,Uran Naka,Panvel,Raigad,Maharashtra,Trimurti Arcade 1st Floor Uran Naka Panvel,022,64560101,Empanelled,NON PPN,Mumbai
932,Mhatre Hospital,Near S T Stand,Pen,Raigad,Maharashtra,"Samarth Prasad Nagar, Near S T Stand",02143,252081,Empanelled,PPN Not Applicable,Other
933,Shree Sai Rugnalaya,Pen,Pen,Raigad,Maharashtra,"Chichpada Road, Next to Govt Hospital Pen",02143,255692,Empanelled,PPN Not Applicable,Other
934,Shree Siddhakala Gen Hospital and Research Centre,Pen,Pen,Raigad,Maharashtra,"Near Shree Ambika Temple, Prabhu Ali Pen",02143,252926,Empanelled,PPN Not Applicable,Other
935,Soham Hospital,Chinchpada,Pen,Raigad,Maharashtra,"Near Panchayat Samiti,Chinchpada.",02143,257945,Empanelled,PPN Not Applicable,Other
936,Trimurti Clinic and Maternity Home,Pen,Pen,Raigad,Maharashtra,"Shashinil, T. P. Scheme, Final Plot - 11, Opp. S.T",02143,252195,Empanelled,PPN Not Applicable,Other
937,Dr.Saroj Tamboli Memorial Hospital,"Alibag, Raigad",Raigad,Raigad,Maharashtra,Ramnath Varsoli,02141,225331,Empanelled,PPN Not Applicable,Other
938,Shree Mhatre Hospital,Wadkhal,Raigad,Raigad,Maharashtra,"Mumbai-Goa Highway, At & Po Wadkhal, Tal-Pen",02143,269267,Empanelled,PPN Not Applicable,Other
939,Shree Narayan Hospital,Karjat,Raigad,Raigad,Maharashtra,"Near Ice Factory, Tal. Karjat",02148,222367,Empanelled,PPN Not Applicable,Other
940,Dr Bhat Nursing Home,Opp Panchayat Samiti,Roha,Raigad,Maharashtra,Opp Panchayat Samiti Tal Roha,02194,234672,Empanelled,PPN Not Applicable,Other
941,Dr Jadhav Nursing Home & Icu,Roha Kolad Road,Roha,Raigad,Maharashtra,"Opp. Octri Naka, Roha-Kolad Road, Trimurtinagar, D",02194,232646,Empanelled,PPN Not Applicable,Other
942,Dr Wagles Nursing Home,Shankarashrama,Roha,Raigad,Maharashtra,Shankarashrama behind Sanjay Gandhi Hospital Roha,02194,235079,Empanelled,PPN Not Applicable,Other
943,Parkar Hospital &research Institute Pvt Ltd,Shivaji Nagar,Ratnagiri,Ratnagiri,Maharashtra,828 Shivaji Nagar Tal & Dist Ratnagiri,02352,222942,Empanelled,PPN Not Applicable,Other
944,Parshuram Hospital &research Centre,NH 17,Ratnagiri,Ratnagiri,Maharashtra,"At-Post Ghanekhunt Lote,  NH-17 Tal Khed",02356,273263,Empanelled,PPN Not Applicable,Other
945,Shree Ramnath Hospital & Konkan Cardiac Centre,Shivaji Nagar Road,Ratnagiri,Ratnagiri,Maharashtra,"Lotlikar Plaza, Maruti Mandir, Shivaji Nagar Road",02352,221191,Empanelled,PPN Not Applicable,Other
946,City Medical Centre,Kolhapur Naka,karad,Sangli,Maharashtra,"501,502 Shaniwar Peth Kolhapur Naka",02164,225959,Empanelled,PPN Not Applicable,Other
947,K N Gujar Memorial Hospital,Karad,Karad,Sangli,Maharashtra,"203/A/6 Shaniwar peth ,  Near S.T. Stand",02164,222868,Empanelled,PPN Not Applicable,Other
948,Sahyadri Speciality Hospital,Near Old Koyana Bridge,Karad,Sangli,Maharashtra,"Adv Dadasaheb Chavan Nagar, At & Post Warunji, Near Old Koyana Bridge, Karad",02164,661800,Empanelled,PPN Not Applicable,Other
949,Sharda Clinic Erram Multispeciality Hospital,Mangalwar Peth,Karad,Sangli,Maharashtra,Near Krishna Bridge Mangalwar Peth Station Road,02164,221434,Empanelled,PPN Not Applicable,Other
950,Dr Anil Kulkarni Eye Hospital,Miraj Sangli Road,Miraj,Sangli,Maharashtra,"21, Hiremath Plots, Miraj",0233,2211666,Empanelled,PPN Not Applicable,Other
951,Sarvamangal Hospital,Sangli Road,Miraj,Sangli,Maharashtra,Vantmore Corner Beside Hotel Mirchi Sangli Road,0233,2212234,Empanelled,PPN Not Applicable,Other
952,Shanti Saroj Netralay,Sunder Nagar,Miraj,Sangli,Maharashtra,901/902 Beside Sunder Nagar,0233,2212646,Empanelled,PPN Not Applicable,Other
953,Sushruta Hospital For Orthopaedics & Traumatology,Hospital Road,Miraj,Sangli,Maharashtra,"Hospital road,Behind hotel Arafa",0233,2223402,Empanelled,PPN Not Applicable,Other
954,Swasthiyog Pratishthan,Extension Area,Miraj,Sangli,Maharashtra,"Dr. Ambedkar Udyan Road, opp. yashvant hall",0233,2222590,Empanelled,PPN Not Applicable,Other
955,Wanless Hospital Miraj Medical Centre,Gandhi Chowk,Miraj,Sangli,Maharashtra,Dr AG Pletcher Marg Gandhi Chowk,0233,2223291,Empanelled,PPN Not Applicable,Other
956,Anuradha Eye Hospital & Polyclinic,Vishrambag,Sangli,Sangli,Maharashtra,Plot No 18 Shri Rajshri Shahu Maharaj 100 Feet Road Near Walchand College of Engineering,0233,2301939,Empanelled,PPN Not Applicable,Other
957,Kranti Cardiac Centre,St Stand Road,Sangli,Sangli,Maharashtra,Behind Kranti Clinic,0233,2531246,Empanelled,PPN Not Applicable,Other
958,Mehta Hospital,Timber Area,Sangli,Sangli,Maharashtra,Timber Area,0233,2375105,Empanelled,PPN Not Applicable,Other
959,Sarvhit Medical Nursing Home & Icu,Zilla Parishad,Sangli,Sangli,Maharashtra,"532-A, South Shivajinagar, Near Zilla Parishad, Be",0233,2328311,Empanelled,PPN Not Applicable,Other
960,Shraddha Surgical & Accident Hospital,Dr Ambedkar Road,Sangli,Sangli,Maharashtra,"Civil Hospital Chowk, Dr Ambedkar Road, Sangli",0233,2377510,Empanelled,PPN Not Applicable,Other
961,Sree Tekke Eye Clinic,Ram mandir Chowk,Sangli,Sangli,Maharashtra,1 st floor Shiv {avillion Ram mandir Chowk,0233,2376330,Empanelled,PPN Not Applicable,Other
962,Sunita memorial accident & genral hospital & nursing home,Miraj-sangli road,Sangli,Sangli,Maharashtra,Opp. Hotel Ambassador hotel miraj - sangli road,0233,2302773,Empanelled,PPN Not Applicable,Other
963,V V Ent & Endoscopy Hospital Pvt Ltd,Islampur,Sangli,Sangli,Maharashtra,1622 Opp Post Office,02342,222717,Empanelled,PPN Not Applicable,Other
964,Vasan Eye Care Hospital,Vishrambaug,Sangli,Sangli,Maharashtra,"354/2A Plot No 3, Opp Police Headquater, Sangli Miraj Road Vishrambaug",0233,3989000,Empanelled,PPN Not Applicable,Other
965,Saste Hospital,Lonand,Lonand,Satara,Maharashtra,Near Durgamata Mandir Lonand Tal Kandala,02169,225790,Empanelled,PPN Not Applicable,Other
966,Shri Siddhivinayak Hospital & Criticare,Nira Road Lonand,Lonand,Satara,Maharashtra,Near Railway Bridge Nira Road Lonad Taluka Khandala,02169,226822,Empanelled,PPN Not Applicable,Other
967,Institute Of Medical Science & Research Hospital,Mayani,Mayani,Satara,Maharashtra,Vidhyagiri Mayani Tall Khatav Dist Satara,02161,270461,Empanelled,PPN Not Applicable,Other
968,Chirjeevan Hospital & Research Centre,Ring Road,Phaltan,Satara,Maharashtra,"5, Ring Road,",02166,221262,Empanelled,PPN Not Applicable,Other
969,Joshi Hospital Pvt Ltd,laxminagar,Phaltan,Satara,Maharashtra,"Plot No -85, Barau Baugh,Laxminagar, behind namjoshi Petrol Pump",02166,225082,Empanelled,PPN Not Applicable,Other
970,Siddhanath Hospital & Research Centre,Shingnapur Road,Phaltan,Satara,Maharashtra,Shingnapur Road,02166,221690,Empanelled,PPN Not Applicable,Other
971,Sushrut Hospital,Laxmi Nagar,Phaltan,Satara,Maharashtra,Rina Road Laxmi Nagar Opp namjoshi Petrol Pump Satara,02166,220795,Empanelled,PPN Not Applicable,Other
972,Yash Maternity & Surgical Hospital,Ring road,Phaltan,Satara,Maharashtra,Near By Dr J T Poll Hospital Ring Road Laxami Nagar,02166,9271195947,Empanelled,PPN Not Applicable,Other
973,Ameya Lesers & Research Pvt Ltd,Rajdhani Towers,satara,Satara,Maharashtra,C/O Kulkarni Memorial Eye Care Centre 329 Rajdhani Towers 2nd Floor Yadgopal Peth Rajwada,02162,284511,Empanelled,PPN Not Applicable,Other
974,Criti Care Centre,Opp Z P,Satara,Satara,Maharashtra,"28, Kalyani Estate Opp. Z. P.",02162,235193,Empanelled,PPN Not Applicable,Other
975,Datta Kashi Hospital,"227, Shanivar Peth",Satara,Satara,Maharashtra,"227, Shanivar Peth, Devi Chowk, Satara",02162,234922,Empanelled,PPN Not Applicable,Other
976,Dr Jagtap Hospital Pvt Ltd,Shirwal,Satara,Satara,Maharashtra,AT Dhangarwadi 280/1/2 on NH4 Highway Pune Satara Road Near Nipro Company Shirwal,02167,227615,Empanelled,PPN Not Applicable,Other
977,Dr Patil Ortheopedic Accident Trauma Icu & Eye Hospital,Near Nirmala Convent School,Satara,Satara,Maharashtra,8 Shishak Colony Behind Remand Home old RTO Chowk Sadar Bazar Camp Satara,02162,228014,Empanelled,PPN Not Applicable,Other
978,Drishti Eye Hospital Phaco And Laser Centre,Stand-Civil Hospital road,Satara,Satara,Maharashtra,"Deshmukh colony, Sadar Bazar",02162,226133,Empanelled,PPN Not Applicable,Other
979,Jayanant Hospital For Children,Lonand,Satara,Satara,Maharashtra,Chhawa Jadhav Lane Lonand,02169,225286,Empanelled,PPN Not Applicable,Other
980,Meenakshi Hospital,Vanwaswadi,Satara,Satara,Maharashtra,Satara Koregaon Road S No 6/1+2 Plot No 4&5 Vanwaswadi Opp Krushnakhore Vikas Mahamandal Office,02162,245101,Empanelled,PPN Not Applicable,Other
981,Morya Hospital & Research Centre,Bombay Restaurent Chowk,Satara,Satara,Maharashtra,S No 21 Plot Bo 10/11 Pushpa Plaza Bombay Restaurent Chowk Near Natraj Mandir,02162,244777,Empanelled,PPN Not Applicable,Other
982,Nandadeep Hospital & Research Centre,Market Yard,Satara,Satara,Maharashtra,"New Radhika Road, 283/5B",02162,239237,Empanelled,PPN Not Applicable,Other
983,Onco Life Cancer Centre Pvt Ltd,Shendre,Satara,Satara,Maharashtra,"S No 252, Near Pune Banglore Highway, Shendre Satara Abit Eng College",02162,279091,Empanelled,PPN Not Applicable,Other
984,Pratibha Hospitals Pvt.ltd,Satara,Satara,Satara,Maharashtra,"century hall, 523/A/1/4,Sadar bazar,opp.ZP,satara",02162,226200,Empanelled,PPN Not Applicable,Other
985,Samarth Hospitals Pvt Ltd,Yadogopal Peth,Satara,Satara,Maharashtra,189 - B Opp Kala - Vanijya College,02162,282068,Empanelled,PPN Not Applicable,Other
986,Sanjeevan Hospital,Shirval,Satara,Satara,Maharashtra,Shirval Tal Khandala Satara,02169,244073,Empanelled,PPN Not Applicable,Other
987,Sanjeevan Icu Pvt Ltd,Satara,Satara,Satara,Maharashtra,"Opp Nagarpalika Shopping Centre, Sadar Bazar",02162,234153,Empanelled,PPN Not Applicable,Other
988,Satara Hospital & Research Centre,Opp Zilla Parishad,satara,Satara,Maharashtra,Plot No 26 Kalyani Estate Opp Zilla Parishad,02162,228288,Empanelled,PPN Not Applicable,Other
989,Savitri Hospital,Lonand,Satara,Satara,Maharashtra,"At-post lonand,lonand-shirval road,Tal-Khandala, Dist- satara",02169,225161,Empanelled,PPN Not Applicable,Other
990,Shri Seva Medical Foundation,Shirval,Satara,Satara,Maharashtra,"Near Pune-Banglore High way , At Post Shirval Tal Khandala Dist Satara",02169,244276,Empanelled,PPN Not Applicable,Other
991,Wagholikareye Clinic & Phaco Centre,Mathar Peth,Satara,Satara,Maharashtra,134 A Mathar Peth,02162,239627,Empanelled,PPN Not Applicable,Other
992,Geetanjali Hospital & Intensive Care Unite,Wai,Wai,Satara,Maharashtra,"2410/ B Siddhanath wadi, near S.T. Stand, dak bangala Road, Wai",02167,220233,Empanelled,PPN Not Applicable,Other
993,General Hospital,Wai,Wai,Satara,Maharashtra,"927, Dharmapuri Wai",02162,220061,Empanelled,PPN Not Applicable,Other
994,Ghotavadekar Hospital,Wai,Wai,Satara,Maharashtra,"425(A) Ganapati Ali, Wai",02167,221149,Empanelled,PPN Not Applicable,Other
995,Modern Clinic,Brahmanshahi,Wai,Satara,Maharashtra,1038 Brahamanshahi Wai,02167,223243,Empanelled,PPN Not Applicable,Other
996,Patange Hospital,Wai,Wai,Satara,Maharashtra,53 B Sanpati Ali Mandai Wai,02167,220457,Empanelled,PPN Not Applicable,Other
997,Sonia Clinic & Saidutta Hospital Cathlab,Bawdhan Road,Wai,Satara,Maharashtra,718 A Yashwant Nagar Bawdhan Road Near Sai Mandir,02167,227615,Empanelled,PPN Not Applicable,Other
998,Dr Nagvekar Hospital & Nursing Home,Kankavli,Sindhudurg,Sindhudurg,Maharashtra,Vidya Nagar College Road Near Vidyamandir High School Kankavli,02367,232168,Empanelled,PPN Not Applicable,Other
999,Dr S K Parulekar Hospital,Kudal,Sindhudurg,Sindhudurg,Maharashtra,A 4 Mehneel Plaza Ganesh Nagar Kudar Nerupar Malvan Road,02362,222702,Empanelled,PPN Not Applicable,Other
1000,Gurukrupa Hospital,Kankavali,Sindhudurg,Sindhudurg,Maharashtra,"Near Kankavali Police Station Kalmath,Kankavali",02367,232909,Empanelled,PPN Not Applicable,Other
1001,Om Kartavya Sadhna Hospital,Kudal,Sindhudurg,Sindhudurg,Maharashtra,Gamderui Kudal,02362,222105,Empanelled,PPN Not Applicable,Other
1002,Yashraj Hospital,Sawantwadi,Sindhudurg,Sindhudurg,Maharashtra,Old Banda Naka Mumbai Goa Highway Khaskilwada E 348 C,02363,271301,Empanelled,PPN Not Applicable,Other
1003,Ashwini Hospital,sangram nagar,Akluj,Solapur,Maharashtra,Sangram Nagar,02185,222357,Empanelled,PPN Not Applicable,Other
1004,Kadam Multispeciality Hospital,Near Old Bus Stand,Akluj,Solapur,Maharashtra,Near old Bus Stand Akluj Tal Malshiras,02185,222468,Empanelled,PPN Not Applicable,Other
1005,Jadhav Hospitlal,Nasna Peth,Barshi,Solapur,Maharashtra,"4, Nasha Peth, Barshi, Nr Bhagwan Mandir",02184,224570,Empanelled,PPN Not Applicable,Other
1006,Shah Hospital,Karmala,Karmala,Solapur,Maharashtra,Main road,02182,220374,Empanelled,PPN Not Applicable,Other
1007,Lokmangal Medical Foundation & Resarch Center,Tal South Solapur,Kumbhari,Solapur,Maharashtra,A/P Kumbhari Tal South Solapur Dist Solapur,0217,2280891,Empanelled,PPN Not Applicable,Other
1008,Dr Kadam Surgical Hospital,Pandharpur road,Kurdwadi,Solapur,Maharashtra,Pandharpur road,02183,223308,Empanelled,PPN Not Applicable,Other
1009,Anand Hospital & Ultrasound centre,Pune pandharpur road,Malshiras,Solapur,Maharashtra,Pune Pandharpur road,02185,236227,Empanelled,PPN Not Applicable,Other
1010,Parijat Hospital,Malshiras,Malshiras,Solapur,Maharashtra,Near New st stand,02185,235052,Empanelled,PPN Not Applicable,Other
1011,Gandhi surgical nursing home,Dahigaon road,Natepute,Solapur,Maharashtra,Dahigaon road Natepute,02185,262203,Empanelled,PPN Not Applicable,Other
1012,Nandini Hospital,Mahaveer path,Natepute,Solapur,Maharashtra,Aradhana Bhagwan Mahaveer path,02185,262326,Empanelled,PPN Not Applicable,Other
1013,Samarth Hospital,Bhakti Marg,Pandharpur,Solapur,Maharashtra,Bhakti Marg Gat No 60 Plot 7 8 4,02186,223828,Empanelled,PPN Not Applicable,Other
1014,Takle Hospital,Near Karad naka,Pandharpur,Solapur,Maharashtra,New Karad Naka,02186,223467,Empanelled,PPN Not Applicable,Other
1015,Anand Hospital,St stand,Sangola,Solapur,Maharashtra,Opp. St stand,02187,220280,Empanelled,PPN Not Applicable,Other
1016,Ashwini Sahakari Rugnalaya & Research Centre,North sadar bazar,Solapur,Solapur,Maharashtra,"Survry No. 7107-1, plot no. 180 north sadar bazar.",0217,2319902,Empanelled,PPN Not Applicable,Other
1017,City Hospital,Near Pankha Bawadi,Solapur,Solapur,Maharashtra,"Old Employment Chowk,City Pride Building,VIP Road, B Wing,Near Pankha Bawadi",0217,2315156,Empanelled,PPN Not Applicable,Other
1018,Dr Chidgupkar Hospital Pvt. Ltd.,Samrat Chowk,Solapur,Solapur,Maharashtra,"Samrat Chowk, Budhwar Peth",0217,2326841,Empanelled,PPN Not Applicable,Other
1019,Dr Kasliwal Medical Care & Research Foundation,Near kasturba market,Solapur,Solapur,Maharashtra,"196, Budhwar peth, near kasturaba Market,",0217,2323244,Empanelled,PPN Not Applicable,Other
1020,Dr Raghoji Kidney Hospital & Research Centre Pvt Ltd,Old R T O Office,Solapur,Solapur,Maharashtra,"146/2, Rly. Lines, Near Old R T O Office",0217,2317322,Empanelled,PPN Not Applicable,Other
1021,Dr Valvekar Hospital,Sadar Bazar,Solapur,Solapur,Maharashtra,"560/58, South Sadar Bazar, Solapur",0217,2311812,Empanelled,PPN Not Applicable,Other
1022,Gangamai Hospital,Ramwadi Road,Solapur,Solapur,Maharashtra,Plot No 1 C S No 279/2 Modikhana Near Railway Underpass Ramwadi Road,0217,2383849,Empanelled,PPN Not Applicable,Other
1023,Jain Hospital And Jain Institute Of Digestive Diseases,Shivaji Chowk,Solapur,Solapur,Maharashtra,Shivaji ChowkBehind ST Stand,0217,2721887,Empanelled,PPN Not Applicable,Other
1024,Kothadia Nursing Home,Near Zila Parishad,Solapur,Solapur,Maharashtra,Siddheshwar Peth In Front of Zilla Parishad,0217,2723050,Empanelled,PPN Not Applicable,Other
1025,Raghoji Ent & Maternity Hospital,Near Jodbasavanna Chowk,Solapur,Solapur,Maharashtra,"150/31A, Raviwar Peth, Opp. Arkal Hospital, Near Jodbasavanna Chowk",0217,2329707,Empanelled,PPN Not Applicable,Other
1026,Shree Samarth Hospital,"Market yard,modnimb",Solapur,Solapur,Maharashtra,Behind market yard,02183,230214,Empanelled,PPN Not Applicable,Other
1027,Shri Markandey Solapur Sah Rugnalaya & Research Centre Niy,Paccha Peth,Solapur,Solapur,Maharashtra,Plot No 19 Paccha Peth Solapur Daji Peth Near ChiLKA Showroom,0217,2452016,Empanelled,PPN Not Applicable,Other
1028,Solapur Kidney & Research Centre,Behind Old RTO,Solapur,Solapur,Maharashtra,"88-A, Railway Lines, Behind Old RTO",0217,2311300,Empanelled,PPN Not Applicable,Other
1029,Utkarsha Hospital,Civil Lines,Solapur,Solapur,Maharashtra,"1640, Civil Lines",0217,2312200,Empanelled,PPN Not Applicable,Other
1030,Vivekanand Nursing Home,Near Pacha Peth,Solapur,Solapur,Maharashtra,"1257,Jod Basawanna Chowk,Near Pacha Peth",0217,2627848,Empanelled,PPN Not Applicable,Other
1031,Wachche Hospital,Vishal Nagar,Solapur,Solapur,Maharashtra,Plot No 3 Vishal Nagar Near Dawat Hotel Jule Solapur,0217,2301314,Empanelled,PPN Not Applicable,Other
1032,Yashodhara Superspeciality Hospital,Near Zila Parishad Square,Solapur,Solapur,Maharashtra,"6158, Sidhheswarpeth Near Zilla Parishad, Solapur",0217,2323001,Empanelled,PPN Not Applicable,Other
1033,Aarogyam Multispeciality Hospital,Kopari,Thane,Thane,Maharashtra,"Renuka Apt Opp Mangala High School, Near Thane railway Station Kopari (E)",022,25323232,Empanelled,NON PPN,Mumbai
1034,Aarogyam Multispeciality Hospital & Icu,Dombivali (E),Thane,Thane,Maharashtra,Shripat Smruti Bulding 1st Floor star Colony In front of bank of baroda Dombivali (E),0251,2871282,Empanelled,NON PPN,Mumbai
1035,Aashirwad Hospital,Kalyan (E),Thane,Thane,Maharashtra,"pune link road ,tisgoan,kalyan",0251,2358075,Empanelled,IN PPN,Mumbai
1036,Aastha Hospital,"Off Manrada Road,Dombivali",Thane,Thane,Maharashtra,"Tata Lane, Joshi wadi, off Manrada Road, Dombivali (E)",0251,2437874,Empanelled,NON PPN,MUMBAI
1037,Aastha Hospital,Vasai (W),Thane,Thane,Maharashtra,"104, New Krishna Housing Society, Near Dhuri Motor",0250,2334080,Empanelled,NON PPN,MUMBAI
1038,Aditya Hospital & Icu,Devashree Garden,Thane,Thane,Maharashtra,Devashree Garden R. W. Sawant Road,022,32661899,Empanelled,NON PPN,Mumbai
1039,Ahirkar Hospital,Bhiwandi,Thane,Thane,Maharashtra,2/2 Kashinath Bhawan Near Ratan Cinema,02522,231194,Empanelled,NON PPN,Mumbai
1040,Amber Eye Care & Microsurgery Centre,Naupada,Thane,Thane,Maharashtra,"1st Floor, Hoshbanoo Mansion, Above Kohinoor Tele",022,25398811,Empanelled,NON PPN,Mumbai
1041,Amrut Hospital & Endoscopy Clinic,Dombivali,Thane,Thane,Maharashtra,"Dr Rajendra Prasad Road, Tilak Nagar",0251,2451005,Empanelled,NON PPN,MUMBAI
1042,Anand General Hospital,Boisar,Thane,Thane,Maharashtra,1st Floor Rooprajat Nagar Boisar Opp CIDCO Colony,02525,697173,Empanelled,NON PPN,Mumbai
1043,Anantlakshmi Hospital & Polyclinic,Kalyan East.,Thane,Thane,Maharashtra,"1st Floor, Crystal Plaza, Tisgaon Poona Link Road,Kalyan East ,",0251,2350504,Empanelled,NON PPN,Mumbai
1044,Anil Eye Hospital,Dombivli (E),Thane,Thane,Maharashtra,"101-102 Satyam Apartments , Tilak road , above Maharashtrasteel, opp Muncipal Library,",0251,2449295,Empanelled,NON PPN,Mumbai
1045,Anish Hospital,Dombivali (E),Thane,Thane,Maharashtra,3/4 Grd Floor Piyush Co Op Hsg Pandurang Wadi 1st Lan Manpada Road Dombivali (E),0251,2438182,Empanelled,IN PPN,Mumbai
1046,Apex Hospital,Kalyan,Thane,Thane,Maharashtra,Shiv Tirtha Apartment parnaka Kalyan,0251,3228752,Empanelled,IN PPN,Mumbai
1047,Apurva Nursing Home,Dombivli,Thane,Thane,Maharashtra,"Gr Flr, Klassic Apartment, Opp. Santoshi Mata Mandir",0251,2462455,Empanelled,NON PPN,Mumbai
1048,Arth Hospital,Nalasopara (E),Thane,Thane,Maharashtra,"1st Floor, Saishwar Darshan , opp Corporation Bank, NR Achole Talaw, Nalasopara (E)",0250,2412233,Empanelled,IN PPN,Mumbai
1049,Aryan Eye Clinic & Day-care Surgery Centre,Naupada,Thane,Thane,Maharashtra,"202, Vinita Aptt, Nr Malhar Theatre, Nr Vodafone Office, Gokhale Road, Naupada, Thane",022,32104767,Empanelled,NON PPN,Mumbai
1050,Ashirwad Hospital,Bhiwandi,Thane,Thane,Maharashtra,"2nd Floor,R K Business Centre, Opp. Gopal Nagar, Kalyan Naka, Bhiwandi Thane",02522,232200,Empanelled,NON PPN,Mumbai
1051,Ashirwad Maternity & General Hosital,Bhayandar (E),Thane,Thane,Maharashtra,"Samir Apartment, Sector K-7, (A), Jesal Park, Bhayandar (E)",022,28174422,Empanelled,IN PPN,Mumbai
1052,Ashirwad Nursing Home,Nallsopara (E),Thane,Thane,Maharashtra,"Seema Complex, Tulinj Road, Nallasopara(E)",0250,2435965,Empanelled,NON PPN,Mumbai
1053,Asian Institute Of Medical Science,Dombivali,Thane,Thane,Maharashtra,"Plot no. 72 milap nagar, MIDC Dombivli, Milap nagar",0251,2475000,Empanelled,IN PPN,Mumbai
1054,Asmita Nursing Home,Dombivli (E),Thane,Thane,Maharashtra,"Agarkar Road, Off Phadke Road, Dombivli (East)",0251,2472945,Empanelled,NON PPN,Mumbai
1055,Bethany Hospital,Pokhran Road,Thane,Thane,Maharashtra,"Lok Upvan Phase II, Smt. Glady's Alvares Marg opp MA Niketan",022,21725124,Empanelled,IN PPN,Mumbai
1056,Bhagwati Healthcare Private Limited,Badlapur,Thane,Thane,Maharashtra,"Plot No.2, Rameshwadi Badlapur (W)",0251,2670726,Empanelled,NON PPN,Mumbai
1057,Bhakti Vedanta Hospital,Mira Road (East),Thane,Thane,Maharashtra,"Shristi Complex, Bhakti Vedanta Swami Marg, Near Dalmia School & Royal College,",022,29452454,Empanelled,IN PPN,Mumbai
1058,Cardinal Gracias Memorial Hospital Trust (dir Mailer),Vasai,Thane,Thane,Maharashtra,Bangali Naka  Chandur P O Vasai West  Dist Thane,0250,2322683,Empanelled,IN PPN,Mumbai
1059,Cauvery Uroderm Centre,Kalyan (W),Thane,Thane,Maharashtra,"Namrata Heights, Lalchowky Adharwadi Road, Near Adharwadi Circle",0251,2209250,Empanelled,NON PPN,Mumbai
1060,Chirayu Medical Foundation,Bhayander(E),Thane,Thane,Maharashtra,"Ground Floor, Vimal Deeep ,Sarvoday paradies, Behind Balaji Hospital, Mira Bhayander Road",022,28120015,Empanelled,IN PPN,Mumbai
1061,Criti Care Iccu Multispeciality & Trauma Centre,Navi Mumbai,Thane,Thane,Maharashtra,Plot No 2A Swami Sainath Complax Sector 16 Airoli New Mumbai,022,27792706,Empanelled,IN PPN,Mumbai
1062,Criticare Superspeciality Hospital,E E Highway,Thane,Thane,Maharashtra,"Opp: Nitin Company, E E Highway, Thane (W)",022,25379181,Empanelled,NON PPN,Mumbai
1063,Dhanvantari Diagnostics,Panchpakhad,Thane,Thane,Maharashtra,A K Vaidya Road Panchpakhad,022,25368033,Empanelled,NON PPN,MUMBAI
1064,Dhanvantari Hospital,Bhayabder,Thane,Thane,Maharashtra,"Radha Govind park, Near Police Station Bhayander West",022,28141123,Empanelled,NON PPN,Mumbai
1065,Dhanvantri Hospital Pvt Ltd,Badlapur,Thane,Thane,Maharashtra,"Thakkar Plaza, Ground Floor, Opp:Swami Vivekanand",0251,2690262,Empanelled,NON PPN,Mumbai
1066,Dhanwantari Hospital,Dombivali,Thane,Thane,Maharashtra,158 D Kasturi Plaza Manpada Road,0251,6570258,Empanelled,NON PPN,Mumbai
1067,Dr Amars Karkhanis Super Speciality Hospital,Tikuji Ni Wadi Road,Thane,Thane,Maharashtra,Soham Gardens North - East Wing,022,25896920,Empanelled,NON PPN,Mumbai
1068,Dr Bhanushali Hospital,Thane (W),Thane,Thane,Maharashtra,Kaushalya Shivaji Path,022,25332791,Empanelled,IN PPN,Mumbai
1069,Dr Deshpande Ashirwad Hospital,Ulhasnagar,Thane,Thane,Maharashtra,Maratha Section Near Jijamata Udhyan Ulhasnagar,0251,2587006,Empanelled,NON PPN,MUMBAI
1070,Dr Doshi Children Hospital,Uthalsar Naka,Thane,Thane,Maharashtra,"1st Floor, Suprab Apts, Uthalsar Naka, Thane (W)",022,25476535,Empanelled,NON PPN,Mumbai
1071,Dr Gadgil Eye Hospital,Thane (W),Thane,Thane,Maharashtra,"Ground Floor, Shreyas Apts, Ramchandra Nagar No 1,",022,25811799,Empanelled,IN PPN,Mumbai
1072,Dr Godboles Heart Care Centre Pvt Ltd,Navpada,Thane,Thane,Maharashtra,M G Road Navpada Opp Sarasvati Marathi School,022,41116789,Empanelled,IN PPN,Mumbai
1073,Dr Goyal Children & General Hospital,Vasai (E),Thane,Thane,Maharashtra,"B-1, B-2, B-3, EC-36, Sai vatika co op hsg soc Aangan, Evershine City,",0250,2460770,Empanelled,IN PPN,Mumbai
1074,Dr Harne Hospital,Dombivli (west),Thane,Thane,Maharashtra,2nd Floor Everest Shopping Centre Opp Rly Stn,0251,2484368,Empanelled,IN PPN,Mumbai
1075,Dr Karavade Eye Clinic,Naupada,Thane,Thane,Maharashtra,"102, Krishnakala, Near Parmarth Niketan, Opp Gaondevi Market. Gokhale Road",022,25403504,Empanelled,NON PPN,Mumbai
1076,Dr Kulur Hospital,Vasai Rd (W),Thane,Thane,Maharashtra,"Sahyagari, Veer Savarkar Nagar, Navghar, Vasai Road",0250,2334101,Empanelled,NON PPN,Mumbai
1077,Dr Muddebihalkar Hospital & ICCU,Shivaji Nagar,Thane,Thane,Maharashtra,"Silver Park, Shivaji Nagar, Wagale Estate, Road No 3, Dsouza Wadi",022,25821479,Empanelled,NON PPN,Mumbai
