,,,,,,,,,,,
Empanelled Hospital List - Maharashtra,,,,,,,,,,,
Sr No,Hospital,Location,City,District,State,Address,STD_Code,Tel_no,Status,PPN Hospital,PPN City
73,Hi Tech Critical Care And Bonde Hospital,Rajapeth,Amravati,Amaravati,Maharashtra,"Near Nanda Market, Rajapeth",0721,2676416,Empanelled,PPN Not Applicable,Other
74,Mahaveer Hospital,Shrikrishna Peth,Amravati,Amaravati,Maharashtra,Shrikrishna peth Near Dufferin Hospital,0721,2660565,Empanelled,PPN Not Applicable,Other
75,Navjivan Hospital,Camp,Amravati,Amaravati,Maharashtra,"Camp, Girls High School Square",0721,2662822,Empanelled,PPN Not Applicable,Other
76,Netra Jyot Eye Hospital,Near Rajapeth Police Station,Amravati,Amaravati,Maharashtra,"Tejul Towers, Badnera Road",0721,2678305,Empanelled,PPN Not Applicable,Other
77,Parashri Speciality Hospital,Khaperde Bagicha,Amravati,Amaravati,Maharashtra,"Near Osmania Masjid, Khaperde Bagicha",0721,2667089,Empanelled,PPN Not Applicable,Other
78,Patil Ent & Cancer Hospital,Badnera Road,Amravati,Amaravati,Maharashtra,Rajapeth Square Bandera Road,0721,2574815,Empanelled,PPN Not Applicable,Other
79,Vyawahare Netralaya,Gadge Nagar,Amravati,Amaravati,Maharashtra,"Near Jayant Complex, V M V Road Rathi Nagar",0721,2664880,Empanelled,PPN Not Applicable,Other
80,Yash Netralaya & Bal Ruganalay,Rukhamini Nagar,Amravati,Amaravati,Maharashtra,"Vijay Colony, Near Rajurkar Furniture",0721,2579306,Empanelled,PPN Not Applicable,Other
81,Bardia Hospital,Opp S T Stand,Paratwada,Amaravati,Maharashtra,"Bardia Hospital, Opp S T Stand,paratwada,amarawati.",07223,220355,Empanelled,PPN Not Applicable,Other
82,Apex Super Speciality Hospital,Bassaye Nagar,Aurangabad,Aurangabad,Maharashtra,"6,7 Bassaye Nagar, Opp. Yashoda Hospital",0240,2345820,Empanelled,PPN Not Applicable,Other
83,Asian Citicare Superspeciality Hospital,New Ousmanpur,Aurangabad,Aurangabad,Maharashtra,Opp Kalash Mangal Karyalaya New Ousmanpur,0240,2339787,Empanelled,PPN Not Applicable,Other
84,Aurangabad Institute Of Medical Sciences Pvt Ltd,Jalgaon Road,Aurangabad,Aurangabad,Maharashtra,Plot No 20 Sector A N II Jalgaon Road Near Sairad Hotel,0240,2390755,Empanelled,PPN Not Applicable,Other
85,Brain Hospital,Nutan Colony,Aurangabad,Aurangabad,Maharashtra,1 Nutan Colony A Bad,0240,2325780,Empanelled,PPN Not Applicable,Other
86,Century Multispeciality Hospital,Opp Central Bus Stand,Aurangabad,Aurangabad,Maharashtra,Opp Central Bus Stand Behind Hotel Ajinkya,0240,2357119,Empanelled,PPN Not Applicable,Other
87,Chhabda Hospital,New Osmanpura,Aurangabad,Aurangabad,Maharashtra,"Opposite Sant Eknath Rang Mandir, New Osmanpura, Aurangabad",0240,2352624,Empanelled,PPN Not Applicable,Other
88,Ciigma Hospital,Jalna Road,Aurangabad,Aurangabad,Maharashtra,"3, Raghuvir Nagar, Opp Sfs High School",0240,2348820,Empanelled,PPN Not Applicable,Other
89,Dande Diabetes & Heart Care Centre,CIDCO,Aurangabad,Aurangabad,Maharashtra,"49, Mayanagar N-2 CIDCI",0240,2486173,Empanelled,PPN Not Applicable,Other
90,Daulat Memorial Hospital,Near High Court,Aurangabad,Aurangabad,Maharashtra,Plot No 148 N 3 CIDCO Near High Court,0240,2484812,Empanelled,PPN Not Applicable,Other
91,Devdatt Palnitkar Hospital,Near Baba Petrol pump,Aurangabad,Aurangabad,Maharashtra,"Shirphal, Bhagyanagar, near Baba Petrol Pump",0240,2332745,Empanelled,PPN Not Applicable,Other
92,Dongaonkar Superspeciality Eye Hospital,Krantichowk,Aurangabad,Aurangabad,Maharashtra,Shrinathji Apt Near Devgiri Bank Usmanpura Road Krantichowk,0240,2345721,Empanelled,PPN Not Applicable,Other
93,Dr Hedgewar Rugnalaya,Garkhada Parisar,Aurangabad,Aurangabad,Maharashtra,"Jawaher Colony, Near Gajanan Maharaj Mandir, Garkhada Parisar",0240,2331195,Empanelled,PPN Not Applicable,Other
94,Drusti Eye Institute Pvt Ltd,Samarth Nagar,Aurangabad,Aurangabad,Maharashtra,139 Samarth Nagar,0240,2240990,Empanelled,PPN Not Applicable,Other
95,Dunakhe Hospital,Adalat Road,Aurangabad,Aurangabad,Maharashtra,"9, Hotel Ashoka Compound, Opp Dist Court, Adalat Road, Aurangabad",0240,2340477,Empanelled,PPN Not Applicable,Other
96,Gade Hospital,Garkheda Parisar,Aurangabad,Aurangabad,Maharashtra,Plot No 08 Chaitanya Hou Society Pundlik Nagar Rd Gajanan Mandir Chowk,0240,2452581,Empanelled,PPN Not Applicable,Other
97,Hazari Nursing Home,Samarth Nagar,Aurangabad,Aurangabad,Maharashtra,"Samarth Nagar, Aurangabad",0240,2333500,Empanelled,PPN Not Applicable,Other
98,Hitech Critical Care Instutute,Adalat Road,Aurangabad,Aurangabad,Maharashtra,"108, Samtanagar, Adalat Road, Aurangabad",0240,2330827,Empanelled,PPN Not Applicable,Other
99,Hyaat Multispeciality Hospital Pvt Ltd,Waluj,Aurangabad,Aurangabad,Maharashtra,P 148 MIDC Waluj BajajNagar Opp Kamgar Bhawan,0240,2553226,Empanelled,PPN Not Applicable,Other
100,Jhunjhunwala Hospital,Jalna Rd,Aurangabad,Aurangabad,Maharashtra,Opp Akashwani Jalna Road.,0240,2331771,Empanelled,PPN Not Applicable,Other
101,Kabra Hospital,Jalna Road,Aurangabad,Aurangabad,Maharashtra,"55, Mahesh Nagar, Opp SFS Highschool,",0240,2351390,Empanelled,PPN Not Applicable,Other
102,Kamalnayan Bajaj Hospital (mmri),Satara Parisar,Aurangabad,Aurangabad,Maharashtra,"Gut. 43, Satara Parisar, Beed By Pass Road",0240,2377999,Empanelled,PPN Not Applicable,Other
103,Kodlikeri Hospital & Trust,Jalna Road,Aurangabad,Aurangabad,Maharashtra,"8, Majeet Nagar, Opp. Akashwani, Jalna Road",0240,2335751,Empanelled,PPN Not Applicable,Other
104,Manik Hospital & Research Centre,Garkheda Parisar,Aurangabad,Aurangabad,Maharashtra,Shivneri Nagar Beside Jawahar Nagar Police Station,0240,2335079,Empanelled,PPN Not Applicable,Other
